dataset_accession,matrix_label,matrix_file,platform,expression_matrix_source_url,expression_source_type,n_samples_in_matrix,n_manifest_samples_for_matrix,n_samples_matched_to_manifest,n_manifest_samples_missing_in_matrix,n_matrix_samples_not_in_manifest,n_features_before_annotation,n_features_with_gene_symbol,n_unique_genes_after_annotation,duplicated_probe_handling_rule,expression_scale_guess,platform_annotation_status,feature_index_file,usable_for_full_benchmark,usable_for_subtype_only_validation,planned_role,story_scope,raw_data_availability,notes
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25066/matrix/GSE25066_series_matrix.txt.gz,series_matrix,508,508,508,,,22283,21126,13884,not collapsed in audit; collapse later with outcome-blind rule,likely_log2_or_normalized_continuous,cached_from_existing_feature_index,manifests/step 2/feature_indexes/matrix_feature_index_GSE25066_GPL96_v1.csv,yes,no,discovery_model_reconstruction_base,full_benchmark,yes_or_possible_supplementary,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20271/matrix/GSE20271_series_matrix.txt.gz,series_matrix,178,178,178,,,22283,21126,13884,not collapsed in audit; collapse later with outcome-blind rule,likely_linear_count_or_unlogged_intensity,cached_from_existing_feature_index,manifests/step 2/feature_indexes/matrix_feature_index_GSE20271_GPL96_v1.csv,yes,no,external_validation_1,full_benchmark,yes_or_possible_supplementary,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32646/matrix/GSE32646_series_matrix.txt.gz,series_matrix,115,115,115,,,54613,45063,22802,not collapsed in audit; collapse later with outcome-blind rule,likely_log2_or_normalized_continuous,cached_from_existing_feature_index,manifests/step 2/feature_indexes/matrix_feature_index_GSE32646_GPL570_v1.csv,yes,yes,external_validation_2_and_TNBC_ER_negative,full_benchmark;subtype_TNBC_ER_negative,yes_or_possible_supplementary,""
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41998/matrix/GSE41998_series_matrix.txt.gz,series_matrix,279,279,279,,,22277,21124,13884,not collapsed in audit; collapse later with outcome-blind rule,likely_log2_or_normalized_continuous,cached_from_existing_feature_index,manifests/step 2/feature_indexes/matrix_feature_index_GSE41998_GPL571_v1.csv,yes,no,external_validation_3,full_benchmark,yes_or_possible_supplementary,""
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50948/matrix/GSE50948_series_matrix.txt.gz,series_matrix,156,156,156,,,54675,45073,22802,not collapsed in audit; collapse later with outcome-blind rule,likely_log2_or_normalized_continuous,cached_from_existing_feature_index,manifests/step 2/feature_indexes/matrix_feature_index_GSE50948_GPL570_v1.csv,yes,yes,external_validation_4_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes_or_possible_supplementary,""
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66305/matrix/GSE66305_series_matrix.txt.gz,series_matrix,88,88,88,,,54675,45073,22802,not collapsed in audit; collapse later with outcome-blind rule,likely_log2_or_normalized_continuous,cached_from_existing_feature_index,manifests/step 2/feature_indexes/matrix_feature_index_GSE66305_GPL570_v1.csv,yes,yes,external_validation_5_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes_or_possible_supplementary,""
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163882/suppl/GSE163882_all.data.tpms_222Samples.csv.gz,supp_tpm_csv,222,222,222,,,60279,60279,58201,not collapsed in audit; collapse later with outcome-blind rule,likely_linear_count_or_unlogged_intensity,skipped_direct_gene_symbols,manifests/step 2/feature_indexes/matrix_feature_index_GSE163882_GPL18573_v1.csv,yes,no,external_validation_6_RNAseq_FFPE,full_benchmark,yes_or_possible_supplementary,""
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194040/suppl/GSE194040_ISPY2ResID_AgilentGeneExp_990_FrshFrzn_GPL20078_ProbeLevel_n654.txt.gz,supp_probe_level,654,654,654,,,32146,30073,21458,not collapsed in audit; collapse later with outcome-blind rule,likely_log2_or_normalized_continuous,ok_stream,manifests/step 2/feature_indexes/matrix_feature_index_GSE194040_GPL20078_v1.csv,stress_test_only,yes,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,yes_or_possible_supplementary,""
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194040/suppl/GSE194040_ISPY2ResID_AgilentGeneExp_990_FrshFrzn_GPL30493.wasGPL16233_ProbeLevel_n334.txt.gz,supp_probe_level,334,334,334,,,40793,32338,20804,not collapsed in audit; collapse later with outcome-blind rule,likely_log2_or_normalized_continuous,ok_stream,manifests/step 2/feature_indexes/matrix_feature_index_GSE194040_GPL30493_v1.csv,stress_test_only,yes,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,yes_or_possible_supplementary,""
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106977/matrix/GSE106977_series_matrix.txt.gz,series_matrix,119,119,119,,,70523,1621,1621,not collapsed in audit; collapse later with outcome-blind rule,likely_log2_or_normalized_continuous,cached_from_existing_feature_index,manifests/step 2/feature_indexes/matrix_feature_index_GSE106977_GPL17586_v1.csv,no,limited_gene_space_review_needed,subtype_validation_TNBC,subtype_TNBC_ER_negative,yes_or_possible_supplementary,""
GSE109710,GSE109710_GPL24546,GSE109710_series_matrix.txt.gz,GPL24546,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109710/suppl/GSE109710_raw_data.txt.gz,supp_nanostring_counts,173,173,173,,,815,810,810,not collapsed in audit; collapse later with outcome-blind rule,likely_linear_count_or_unlogged_intensity,ok_stream,manifests/step 2/feature_indexes/matrix_feature_index_GSE109710_GPL24546_v1.csv,no,yes_limited_panel_only,subtype_validation_HER2_positive,subtype_HER2_positive,yes_or_possible_supplementary,""
GSE130786,GSE130786_GPL6480,GSE130786_series_matrix.txt.gz,GPL6480,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130786/matrix/GSE130786_series_matrix.txt.gz,series_matrix,110,110,110,,,41000,30685,19542,not collapsed in audit; collapse later with outcome-blind rule,likely_log2_or_normalized_continuous,ok_stream,manifests/step 2/feature_indexes/matrix_feature_index_GSE130786_GPL6480_v1.csv,no,yes,subtype_validation_HER2_positive,subtype_HER2_positive,yes_or_possible_supplementary,""
