dataset_accession,matrix_label,matrix_file,platform,analysis_set,classifier_id,n_genes_required,n_genes_available,coverage_pct,status_detail
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,PAM50,50,42,84,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,MAMMAPRINT_70,51,36,70.6,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,ONCOTYPE_DX_21,16,15,93.8,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,GGI_128_PROBE,99,87,87.9,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,GENE76,58,48,82.8,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,ENDOPREDICT_11,8,8,100,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,IFNG_18,18,16,88.9,""
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,PAM50,50,42,84,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,MAMMAPRINT_70,51,36,70.6,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,ONCOTYPE_DX_21,16,15,93.8,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,GGI_128_PROBE,99,87,87.9,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,GENE76,58,48,82.8,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,ENDOPREDICT_11,8,8,100,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,IFNG_18,18,16,88.9,""
GSE20271,GSE20271_GPL96,GSE20271_series_matrix.txt.gz,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,core_full_benchmark,PAM50,50,47,94,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,core_full_benchmark,MAMMAPRINT_70,51,41,80.4,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,core_full_benchmark,ONCOTYPE_DX_21,16,15,93.8,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,core_full_benchmark,GGI_128_PROBE,99,87,87.9,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,core_full_benchmark,GENE76,58,48,82.8,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,core_full_benchmark,ENDOPREDICT_11,8,8,100,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,core_full_benchmark,IFNG_18,18,18,100,""
GSE32646,GSE32646_GPL570,GSE32646_series_matrix.txt.gz,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,core_full_benchmark,PAM50,50,42,84,""
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,core_full_benchmark,MAMMAPRINT_70,51,36,70.6,""
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,core_full_benchmark,ONCOTYPE_DX_21,16,15,93.8,""
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,core_full_benchmark,GGI_128_PROBE,99,87,87.9,""
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,core_full_benchmark,GENE76,58,48,82.8,""
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,core_full_benchmark,ENDOPREDICT_11,8,8,100,""
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,core_full_benchmark,IFNG_18,18,16,88.9,""
GSE41998,GSE41998_GPL571,GSE41998_series_matrix.txt.gz,GPL571,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,core_full_benchmark,PAM50,50,47,94,""
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,core_full_benchmark,MAMMAPRINT_70,51,41,80.4,""
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,core_full_benchmark,ONCOTYPE_DX_21,16,15,93.8,""
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,core_full_benchmark,GGI_128_PROBE,99,87,87.9,""
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,core_full_benchmark,GENE76,58,48,82.8,""
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,core_full_benchmark,ENDOPREDICT_11,8,8,100,""
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,core_full_benchmark,IFNG_18,18,18,100,""
GSE50948,GSE50948_GPL570,GSE50948_series_matrix.txt.gz,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,core_full_benchmark,PAM50,50,47,94,""
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,core_full_benchmark,MAMMAPRINT_70,51,41,80.4,""
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,core_full_benchmark,ONCOTYPE_DX_21,16,15,93.8,""
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,core_full_benchmark,GGI_128_PROBE,99,87,87.9,""
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,core_full_benchmark,GENE76,58,48,82.8,""
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,core_full_benchmark,ENDOPREDICT_11,8,8,100,""
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,core_full_benchmark,IFNG_18,18,18,100,""
GSE66305,GSE66305_GPL570,GSE66305_series_matrix.txt.gz,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,core_full_benchmark,PAM50,50,48,96,""
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,core_full_benchmark,MAMMAPRINT_70,51,43,84.3,""
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,core_full_benchmark,ONCOTYPE_DX_21,16,16,100,""
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,core_full_benchmark,GGI_128_PROBE,99,90,90.9,""
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,core_full_benchmark,GENE76,58,49,84.5,""
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,core_full_benchmark,ENDOPREDICT_11,8,8,100,""
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,core_full_benchmark,IFNG_18,18,18,100,""
GSE163882,GSE163882_GPL18573,GSE163882_series_matrix.txt.gz,GPL18573,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,large_stress_test,PAM50,50,48,96,""
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,large_stress_test,MAMMAPRINT_70,51,43,84.3,""
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,large_stress_test,ONCOTYPE_DX_21,16,16,100,""
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,large_stress_test,GGI_128_PROBE,99,90,90.9,""
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,large_stress_test,GENE76,58,49,84.5,""
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,large_stress_test,ENDOPREDICT_11,8,8,100,""
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,large_stress_test,IFNG_18,18,18,100,""
GSE194040,GSE194040_GPL20078,GSE194040-GPL20078_series_matrix.txt.gz,GPL20078,large_stress_test,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,large_stress_test,PAM50,50,48,96,""
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,large_stress_test,MAMMAPRINT_70,51,43,84.3,""
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,large_stress_test,ONCOTYPE_DX_21,16,16,100,""
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,large_stress_test,GGI_128_PROBE,99,90,90.9,""
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,large_stress_test,GENE76,58,48,82.8,""
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,large_stress_test,ENDOPREDICT_11,8,8,100,""
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,large_stress_test,IFNG_18,18,18,100,""
GSE194040,GSE194040_GPL30493,GSE194040-GPL30493_series_matrix.txt.gz,GPL30493,large_stress_test,CYTOLYTIC_ACTIVITY_2,2,2,100,""
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,limited_subtype_panel_or_gene_space,PAM50,50,0,0,""
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,limited_subtype_panel_or_gene_space,MAMMAPRINT_70,51,0,0,""
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,limited_subtype_panel_or_gene_space,ONCOTYPE_DX_21,16,0,0,""
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,limited_subtype_panel_or_gene_space,GGI_128_PROBE,99,0,0,""
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,limited_subtype_panel_or_gene_space,GENE76,58,0,0,""
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,limited_subtype_panel_or_gene_space,ENDOPREDICT_11,8,0,0,""
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,limited_subtype_panel_or_gene_space,IFNG_18,18,0,0,""
GSE106977,GSE106977_GPL17586,GSE106977_series_matrix.txt.gz,GPL17586,limited_subtype_panel_or_gene_space,CYTOLYTIC_ACTIVITY_2,2,0,0,""
GSE109710,GSE109710_GPL24546,GSE109710_series_matrix.txt.gz,GPL24546,limited_subtype_panel_or_gene_space,PAM50,50,50,100,""
GSE109710,GSE109710_GPL24546,GSE109710_series_matrix.txt.gz,GPL24546,limited_subtype_panel_or_gene_space,MAMMAPRINT_70,51,11,21.6,""
GSE109710,GSE109710_GPL24546,GSE109710_series_matrix.txt.gz,GPL24546,limited_subtype_panel_or_gene_space,ONCOTYPE_DX_21,16,16,100,""
GSE109710,GSE109710_GPL24546,GSE109710_series_matrix.txt.gz,GPL24546,limited_subtype_panel_or_gene_space,GGI_128_PROBE,99,27,27.3,""
GSE109710,GSE109710_GPL24546,GSE109710_series_matrix.txt.gz,GPL24546,limited_subtype_panel_or_gene_space,GENE76,58,7,12.1,""
GSE109710,GSE109710_GPL24546,GSE109710_series_matrix.txt.gz,GPL24546,limited_subtype_panel_or_gene_space,ENDOPREDICT_11,8,2,25,""
GSE109710,GSE109710_GPL24546,GSE109710_series_matrix.txt.gz,GPL24546,limited_subtype_panel_or_gene_space,IFNG_18,18,8,44.4,""
GSE109710,GSE109710_GPL24546,GSE109710_series_matrix.txt.gz,GPL24546,limited_subtype_panel_or_gene_space,CYTOLYTIC_ACTIVITY_2,2,0,0,""
GSE130786,GSE130786_GPL6480,GSE130786_series_matrix.txt.gz,GPL6480,subtype_validation_only,PAM50,50,47,94,""
GSE130786,GSE130786_GPL6480,GSE130786_series_matrix.txt.gz,GPL6480,subtype_validation_only,MAMMAPRINT_70,51,42,82.4,""
GSE130786,GSE130786_GPL6480,GSE130786_series_matrix.txt.gz,GPL6480,subtype_validation_only,ONCOTYPE_DX_21,16,16,100,""
GSE130786,GSE130786_GPL6480,GSE130786_series_matrix.txt.gz,GPL6480,subtype_validation_only,GGI_128_PROBE,99,89,89.9,""
GSE130786,GSE130786_GPL6480,GSE130786_series_matrix.txt.gz,GPL6480,subtype_validation_only,GENE76,58,48,82.8,""
GSE130786,GSE130786_GPL6480,GSE130786_series_matrix.txt.gz,GPL6480,subtype_validation_only,ENDOPREDICT_11,8,7,87.5,""
GSE130786,GSE130786_GPL6480,GSE130786_series_matrix.txt.gz,GPL6480,subtype_validation_only,IFNG_18,18,18,100,""
GSE130786,GSE130786_GPL6480,GSE130786_series_matrix.txt.gz,GPL6480,subtype_validation_only,CYTOLYTIC_ACTIVITY_2,2,2,100,""
