subtype_story_group,classifier_id,classifier_score_name,n_dataset_subgroups,n_total_samples,n_total_pcr,median_auc,min_auc,max_auc,median_pr_auc,n_auc_ge_0_60,dataset_subgroups,evaluable,subtype_display
TNBC_or_ER_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,7,760,278,0.527272727272727,0.4625,0.648950305607228,0.468627212198668,1,GSE25066_GPL96:TNBC_or_ER_PR_HER2_negative;GSE20271_GPL96:TNBC_or_ER_PR_HER2_negative;GSE32646_GPL570:TNBC_or_ER_PR_HER2_negative;GSE41998_GPL571:HR_negative_HER2_unknown;GSE50948_GPL570:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL20078:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL30493:TNBC_or_ER_PR_HER2_negative,yes,TNBC/ER-negative
TNBC_or_ER_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,7,760,278,0.507529886663562,0.409698996655518,0.55625,0.380628944881553,0,GSE25066_GPL96:TNBC_or_ER_PR_HER2_negative;GSE20271_GPL96:TNBC_or_ER_PR_HER2_negative;GSE32646_GPL570:TNBC_or_ER_PR_HER2_negative;GSE41998_GPL571:HR_negative_HER2_unknown;GSE50948_GPL570:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL20078:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL30493:TNBC_or_ER_PR_HER2_negative,yes,TNBC/ER-negative
TNBC_or_ER_negative,GENE76,Wang 76-gene weighted risk score,7,738,266,0.543985161632221,0.363636363636364,0.625,0.427637276695273,1,GSE25066_GPL96:TNBC_or_ER_PR_HER2_negative;GSE20271_GPL96:TNBC_or_ER_PR_HER2_negative;GSE32646_GPL570:TNBC_or_ER_PR_HER2_negative;GSE41998_GPL571:HR_negative_HER2_unknown;GSE50948_GPL570:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL20078:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL30493:TNBC_or_ER_PR_HER2_negative,yes,TNBC/ER-negative
TNBC_or_ER_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,7,760,278,0.58125,0.436363636363636,0.605651296382549,0.439990289145903,1,GSE25066_GPL96:TNBC_or_ER_PR_HER2_negative;GSE20271_GPL96:TNBC_or_ER_PR_HER2_negative;GSE32646_GPL570:TNBC_or_ER_PR_HER2_negative;GSE41998_GPL571:HR_negative_HER2_unknown;GSE50948_GPL570:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL20078:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL30493:TNBC_or_ER_PR_HER2_negative,yes,TNBC/ER-negative
TNBC_or_ER_negative,IFNG_18,IFN-gamma 18-gene mean z score,7,760,278,0.576046634870164,0.454545454545455,0.671538665958012,0.467108269627885,2,GSE25066_GPL96:TNBC_or_ER_PR_HER2_negative;GSE20271_GPL96:TNBC_or_ER_PR_HER2_negative;GSE32646_GPL570:TNBC_or_ER_PR_HER2_negative;GSE41998_GPL571:HR_negative_HER2_unknown;GSE50948_GPL570:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL20078:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL30493:TNBC_or_ER_PR_HER2_negative,yes,TNBC/ER-negative
TNBC_or_ER_negative,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,4,401,154,0.547531124911309,0.4,0.6,0.43738758034488,1,GSE32646_GPL570:TNBC_or_ER_PR_HER2_negative;GSE50948_GPL570:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL20078:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL30493:TNBC_or_ER_PR_HER2_negative,yes,TNBC/ER-negative
TNBC_or_ER_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,7,760,278,0.54375,0.414715719063545,0.584070796460177,0.459243127108313,0,GSE25066_GPL96:TNBC_or_ER_PR_HER2_negative;GSE20271_GPL96:TNBC_or_ER_PR_HER2_negative;GSE32646_GPL570:TNBC_or_ER_PR_HER2_negative;GSE41998_GPL571:HR_negative_HER2_unknown;GSE50948_GPL570:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL20078:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL30493:TNBC_or_ER_PR_HER2_negative,yes,TNBC/ER-negative
TNBC_or_ER_negative,PAM50,PAM50 non-luminal affinity score,7,760,278,0.527272727272727,0.508361204013378,0.587796925943177,0.433358014202228,0,GSE25066_GPL96:TNBC_or_ER_PR_HER2_negative;GSE20271_GPL96:TNBC_or_ER_PR_HER2_negative;GSE32646_GPL570:TNBC_or_ER_PR_HER2_negative;GSE41998_GPL571:HR_negative_HER2_unknown;GSE50948_GPL570:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL20078:TNBC_or_ER_PR_HER2_negative;GSE194040_GPL30493:TNBC_or_ER_PR_HER2_negative,yes,TNBC/ER-negative
HER2_positive,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,9,704,285,0.599878567091682,0.541233766233766,0.766917293233083,0.495331465919701,4,GSE20271_GPL96:HER2_positive;GSE32646_GPL570:HER2_positive;GSE41998_GPL571:HER2_positive;GSE50948_GPL570:HER2_positive;GSE66305_GPL570:HER2_positive;GSE163882_GPL18573:HER2_positive;GSE194040_GPL20078:HER2_positive;GSE194040_GPL30493:HER2_positive;GSE130786_GPL6480:HER2_positive,yes,HER2-positive
HER2_positive,ENDOPREDICT_11,EndoPredict approximate weighted expression score,9,701,284,0.601851851851852,0.549483910139648,0.75,0.497939909719276,6,GSE20271_GPL96:HER2_positive;GSE32646_GPL570:HER2_positive;GSE41998_GPL571:HER2_positive;GSE50948_GPL570:HER2_positive;GSE66305_GPL570:HER2_positive;GSE163882_GPL18573:HER2_positive;GSE194040_GPL20078:HER2_positive;GSE194040_GPL30493:HER2_positive;GSE130786_GPL6480:HER2_positive,yes,HER2-positive
HER2_positive,GENE76,Wang 76-gene weighted risk score,9,683,277,0.515482695810565,0.458333333333333,0.62037037037037,0.410093216754097,2,GSE20271_GPL96:HER2_positive;GSE32646_GPL570:HER2_positive;GSE41998_GPL571:HER2_positive;GSE50948_GPL570:HER2_positive;GSE66305_GPL570:HER2_positive;GSE163882_GPL18573:HER2_positive;GSE194040_GPL20078:HER2_positive;GSE194040_GPL30493:HER2_positive;GSE130786_GPL6480:HER2_positive,yes,HER2-positive
HER2_positive,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,9,704,285,0.599797365754813,0.493181818181818,0.777777777777778,0.528555405064659,4,GSE20271_GPL96:HER2_positive;GSE32646_GPL570:HER2_positive;GSE41998_GPL571:HER2_positive;GSE50948_GPL570:HER2_positive;GSE66305_GPL570:HER2_positive;GSE163882_GPL18573:HER2_positive;GSE194040_GPL20078:HER2_positive;GSE194040_GPL30493:HER2_positive;GSE130786_GPL6480:HER2_positive,yes,HER2-positive
HER2_positive,IFNG_18,IFN-gamma 18-gene mean z score,9,704,285,0.632352941176471,0.53538961038961,0.992481203007519,0.530783171553781,6,GSE20271_GPL96:HER2_positive;GSE32646_GPL570:HER2_positive;GSE41998_GPL571:HER2_positive;GSE50948_GPL570:HER2_positive;GSE66305_GPL570:HER2_positive;GSE163882_GPL18573:HER2_positive;GSE194040_GPL20078:HER2_positive;GSE194040_GPL30493:HER2_positive;GSE130786_GPL6480:HER2_positive,yes,HER2-positive
HER2_positive,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,7,651,271,0.616268382352941,0.523701298701299,0.658600148920328,0.541833435614478,4,GSE32646_GPL570:HER2_positive;GSE50948_GPL570:HER2_positive;GSE66305_GPL570:HER2_positive;GSE163882_GPL18573:HER2_positive;GSE194040_GPL20078:HER2_positive;GSE194040_GPL30493:HER2_positive;GSE130786_GPL6480:HER2_positive,yes,HER2-positive
HER2_positive,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,10,875,387,0.641125541125541,0.573770491803279,0.768939393939394,0.547422713237701,7,GSE20271_GPL96:HER2_positive;GSE32646_GPL570:HER2_positive;GSE41998_GPL571:HER2_positive;GSE50948_GPL570:HER2_positive;GSE66305_GPL570:HER2_positive;GSE163882_GPL18573:HER2_positive;GSE194040_GPL20078:HER2_positive;GSE194040_GPL30493:HER2_positive;GSE109710_GPL24546:HER2_positive;GSE130786_GPL6480:HER2_positive,yes,HER2-positive
HER2_positive,PAM50,PAM50 non-luminal affinity score,10,877,388,0.65671803081712,0.574074074074074,0.759398496240602,0.545822400887138,7,GSE20271_GPL96:HER2_positive;GSE32646_GPL570:HER2_positive;GSE41998_GPL571:HER2_positive;GSE50948_GPL570:HER2_positive;GSE66305_GPL570:HER2_positive;GSE163882_GPL18573:HER2_positive;GSE194040_GPL20078:HER2_positive;GSE194040_GPL30493:HER2_positive;GSE109710_GPL24546:HER2_positive;GSE130786_GPL6480:HER2_positive,yes,HER2-positive
