"dataset_accession","standard_field","source_mapping","handling"
"GSE25066","endpoint_binary_pcr1_rd0","pathologic_response_pcr_rd -> pCR/RD; NA excluded","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE25066","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE25066","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE25066","overlap_flag","superset_of_GSE25055_GSE25065; do_not_combine_with_GSE25055_or_GSE25065","Used to prevent duplicate discovery/validation assignment"
"GSE25066","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE25066","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE25066","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE25066","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE25066","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE25066","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE20271","endpoint_binary_pcr1_rd0","pcr or rd -> pCR/RD","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE20271","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE20271","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE20271","overlap_flag","I-SPY1 independent validation; check against I-SPY2 separately","Used to prevent duplicate discovery/validation assignment"
"GSE20271","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE20271","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE20271","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE20271","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE20271","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE20271","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE32646","endpoint_binary_pcr1_rd0","pathologic response pcr ncr -> pCR/RD where nCR maps to RD/non-pCR","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE32646","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE32646","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE32646","overlap_flag","independent ER-negative cohort","Used to prevent duplicate discovery/validation assignment"
"GSE32646","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE32646","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE32646","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE32646","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE32646","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE32646","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE41998","endpoint_binary_pcr1_rd0","pcr -> Yes/No; 0 treated as missing/unmapped","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE41998","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE41998","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE41998","overlap_flag","independent trial; treatment arm heterogeneity","Used to prevent duplicate discovery/validation assignment"
"GSE41998","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE41998","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE41998","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE41998","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE41998","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE41998","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE50948","endpoint_binary_pcr1_rd0","pcr -> pCR/RD","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE50948","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE50948","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE50948","overlap_flag","NOAH HER2-positive trial; independent from CHER-LOB/TRYPHAENA","Used to prevent duplicate discovery/validation assignment"
"GSE50948","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE50948","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE50948","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE50948","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE50948","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE50948","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE66305","endpoint_binary_pcr1_rd0","pcr (1=yes) -> 1 pCR, 0 RD","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE66305","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE66305","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE66305","overlap_flag","CHER-LOB HER2-positive trial","Used to prevent duplicate discovery/validation assignment"
"GSE66305","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE66305","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE66305","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE66305","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE66305","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE66305","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE163882","endpoint_binary_pcr1_rd0","response to nac -> pCR/RD","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE163882","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE163882","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE163882","overlap_flag","RNA-seq FFPE multi-center; platform stress for microarray-trained models","Used to prevent duplicate discovery/validation assignment"
"GSE163882","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE163882","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE163882","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE163882","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE163882","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE163882","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE194040","endpoint_binary_pcr1_rd0","pcr -> 1 pCR, 0 RD","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE194040","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE194040","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE194040","overlap_flag","I-SPY2-990 mRNA component; do_not_combine_with_GSE196096_or_I-SPY2_subseries","Used to prevent duplicate discovery/validation assignment"
"GSE194040","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE194040","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE194040","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE194040","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE194040","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE194040","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE106977","endpoint_binary_pcr1_rd0","pathological complete response -> yes pCR, no RD","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE106977","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE106977","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE106977","overlap_flag","TNBC-specific subtype validation","Used to prevent duplicate discovery/validation assignment"
"GSE106977","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE106977","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE106977","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE106977","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE106977","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE106977","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE109710","endpoint_binary_pcr1_rd0","pcr -> 1 pCR, 0 RD","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE109710","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE109710","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE109710","overlap_flag","TRYPHAENA HER2-positive NanoString panel; not whole transcriptome","Used to prevent duplicate discovery/validation assignment"
"GSE109710","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE109710","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE109710","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE109710","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE109710","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE109710","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
"GSE130786","endpoint_binary_pcr1_rd0","drug response -> PCR/RD","Unmapped or NA endpoint rows are retained in manifest but excluded from primary analysis"
"GSE130786","pretreatment vs on-treatment","baseline/pretreatment inferred from series design unless a biopsy time/time point field indicates otherwise","Non-pretreatment samples are marked include_primary_analysis=no if detected"
"GSE130786","ER/PR/HER2/HR status","dataset-specific receptor keys plus study-level defaults for TNBC/HER2-positive trials","Raw values preserved; normalized values are Positive/Negative/blank where possible"
"GSE130786","overlap_flag","HER2-positive TCH/TCL/TCHL baseline subset","Used to prevent duplicate discovery/validation assignment"
"GSE130786","gsm_sample_id","GEO !Sample_geo_accession","Primary sample identifier; checked for duplicate GSM IDs across the manifest"
"GSE130786","patient_id","patient id/patient identifier/sample id when present; otherwise Sample_title fallback","Used for within-dataset repeated-patient checks; cross-GSE numeric collisions are treated as unconfirmed"
"GSE130786","treatment_arm","arm/treatment arm/treatment group/preoperative treatment/type_taxane and related dataset-specific fields","Raw treatment-arm text is preserved; blank means not available in series matrix header"
"GSE130786","platform","GPL ID inferred from matrix file name or !Sample_platform_id","Used to separate microarray/RNA-seq/NanoString and I-SPY2 platform-specific stress tests"
"GSE130786","raw_data_availability","GEO supplementary file listing","Programmatic availability hint only; raw-file usability still requires dataset-specific download audit"
"GSE130786","include_primary_analysis","dataset role plus endpoint/timepoint eligibility checks","yes = full benchmark; yes_stress_test = large platform-specific stress test; subtype_only = subtype story only; no = excluded with reason"
